"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A learning styles based recommender system prototype for edX courses","J. Gope; S. Kumar Jain","Department of Computer Engineering, National Institute of Technology, Kurukshetra, Haryana - 136119, India; Department of Computer Engineering, National Institute of Technology, Kurukshetra, Haryana - 136119, India","2017 International Conference On Smart Technologies For Smart Nation (SmartTechCon)","","2017","","","414","419","Recommender Systems (RSs) are information filtering systems that gather data about users, to build useful recommendations for them. In todays age of bigdata, RSs have become important tools for finding relevant items from numerous options. RSs for web-based learning assist learners in discovering relevant learning content, according to requirements. Since learners have diverse needs and contexts, recommendations need to be highly personalized. In web-based learning, MOOCs are globally accessible online courses, designed to support learning of a large number of students of different backgrounds. For modelling users, existing MOOC RSs focus on extrinsic properties such as demographics, ratings, whereas a students learning is more dependent on intrinsic qualities like competency, learning styles. In this work, a new RS prototype has been designed, for recommending MOOCs based on requirements and learning styles. This prototype is based on an adapted version of the FSLSM LS model and works exclusively for edX MOOCs.","","978-1-5386-0569-1978-1-5386-0568-4978-1-5386-0570","10.1109/SmartTechCon.2017.8358407","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8358407","Recommender systems;Learning Styles;MOOCs","Prototypes;Adaptation models;Tools;Computational modeling;Metadata;Recommender systems;Learning systems","computer aided instruction;educational courses;information filtering;Internet;recommender systems","users modelling;Web-based learning;relevant learning content;information filtering systems;Recommender Systems;edX courses;recommender system prototype;edX MOOCs;recommending MOOCs;learning styles;students learning;MOOC RSs focus","","1","30","","","","","IEEE","IEEE Conferences"
"A intelligent Gamifying learning recommender system integrated with learning styles and Kelly repertory grid technology","C. Su; K. Fan; P. Su","Department of Animation and Game Design, Shu-Te University, Kaohsiung, Taiwan; Graduate School of Design, National Yunlin University of Science and Technology, Taiwan; Department of Digital Content Application and Management, Wenzao Ursuline University of Languages, Taiwan","2016 International Conference on Applied System Innovation (ICASI)","","2016","","","1","4","As RS (recommendation system) presents the advantage of adaptive recommendation, it is gradually applied to e-learning systems to recommend learners for the next learning content. Problems exist in current learning recommender system available to student in that they are often of a general learning content not offering a personalized service. To overcome this, An adaptive learning path recommendation system (ALPRS) is proposed comprising: (a) Fuzzy Delphi Method (FDM) is applied to acquire the key factors in learning content; (b) Fuzzy Interpretive Structural Model (ISM) is further utilized for establishing the adaptive learning path hierarchical structure; and (c) repertory grid technology (RGT) is further used for acquiring the effects of the recommender element attributes of the adaptive learning path. The result show that the learning outcome with ALPRS is better than it with general learning course guided recommendation mechanism, and the scores of system satisfaction with ALPRS and personal service are higher than 90; recall (95%), precision (68%), F1 index (45%), and MAE (8%) in ALPRS outperform other approaches. Finally, three contributions are organized in this study. (1) The novel hybrid ALPRS is proposed and tested the practicability. (2) A prototype gamification geometry teaching material module is developed for the promotion in MSTE (Mathematics, Science, and Technology Education) areas. (3) The adaptive geometry learning path diagram generated with ISM based on learning styles could offer reference for successive studies.","","978-1-4673-9888-6978-1-4673-9889","10.1109/ICASI.2016.7539768","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7539768","Mathematics education;Intelligent Learning Recommender System;Gamifying;Learning Style;Kelly Repertory Grid","Decision support systems;Frequency division multiplexing;Animation;Games","computer aided instruction;computer games;fuzzy set theory;geometry;recommender systems","intelligent gamifying learning recommender system;learning styles;Kelly repertory grid technology;adaptive recommendation;e-learning systems;learning content;personalized service;adaptive learning path recommendation system;ALPRS;fuzzy Delphi method;FDM;fuzzy interpretive structural model;ISM;adaptive learning path hierarchical structure;RGT;recommender element attributes;general learning course guided recommendation mechanism;personal service;gamification geometry;teaching material module;MSTE;adaptive geometry learning path diagram","","1","15","","","","","IEEE","IEEE Conferences"
"Knowledge based recommender system and web 2.0 to enhance learning model in junior high school","M. G. Wonoseto; Y. Rosmansyah","School of Electrical Engineering and Informatics, ITB, Bandung, Indonesia; School of Electrical Engineering and Informatics, ITB, Bandung, Indonesia","2017 International Conference on Information Technology Systems and Innovation (ICITSI)","","2017","","","168","171","Current educational trend is education based on student-centered activities, personalize and collaborative. Along with the development of technology, blended learning becomes very popular in education. A good blended learning is a blended learning that fits the current educational challenges of combining learning activities, supported by tools and technologies such as web 2.0 tools and recommender systems. In previous research, has been built a recommender system that recommends e-tivity, possible collaborators, web 2.0 tools, and bits of advice. The recommender system was built with collaborative filtering and content-based techniques. Collaborative filtering and content-based have problems in terms of dependency with data history, so it is possible to ramp-up and gray sheep on the recommendation. One way to overcome the problem of ramp-up and gray sheep is with knowledge-based. This paper proposes a knowledge-based recommender system to improve learning model in schools. Recommendations are based on VAK learning styles and collaborative learning theory. This research uses Design Research Methodology. The results showed that the experimental class score was higher than the control class. Using inferential statistics, it can be concluded that proposed knowledge-based recommender system significantly enhance learning in school.","","978-1-5386-3100-3978-1-5386-3098-3978-1-5386-3101","10.1109/ICITSI.2017.8267937","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8267937","Knowledge-Based Recommender System;VAK Learning Style;Collaborative Learning;Web 2.0","Hafnium","computer aided instruction;educational courses;Internet;recommender systems","knowledge based recommender system;junior high school;student-centered activities;learning activities;VAK learning styles;collaborative learning theory;blended learning;Web 2.0 tools;learning model enhancement;design research methodology;experimental class score;inferential statistics","","","7","","","","","IEEE","IEEE Conferences"
"When humans form media and media form humans: An experimental study examining the effects different digital media have on the learning outcomes of students who have different learning styles","J. L. Alty; A. Al-Sharrah; N. Beacham","NA; NA; NA","Interacting with Computers","","2006","18","5","891","909","A set of computer-based experiments are reported that investigate the understanding achieved by learners when studying a complex domain (statistics) in a real e-learning environment using three different media combinations—Text only, Text and Diagrams and Spoken Text and Diagrams, and the results agree with earlier work carried out on more limited domains. The work is then extended to examine how student interaction and student learning styles affect the learning outcomes. Different responses to the media combinations are observed and significant differences occur between learners classified as Sensing and Reflective learners. The experiment also identified some important differences in performance with the different media combinations by students registered as Dyslexic. The experiment was therefore repeated with a much larger sample of Dyslexic learners and the earlier effects were found to be significant. The results were surprising and may provide useful guidance for the design of material for Dyslexic students.","0953-5438;1873-7951","","10.1016/j.intcom.2006.04.002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8155596","Multimedia;Learning;Learning style;Dyslexia;Sensing and intuitive learners;Experimental study","","","","","5","","","","","","OUP","OUP Journals"
"Understanding Learning Styles to Be a More Effective Team Leader and Engineering Manager","D. A. Wyrick","NA","IEEE Engineering Management Review","","2008","36","1","61","61","This publication contains reprint articles for which IEEE does not hold copyright. Full text is not available on IEEE Xplore for these articles.","0360-8581;1937-4178","","10.1109/EMR.2008.4490140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4490140","","","","","","","","","","","","IEEE","IEEE Magazines"
"A resource for teaciiing a learning styles/teamwork module with tiie soloman-felder index of learning styles","J. E. Sharp","Vanderbilt University","33rd Annual Frontiers in Education, 2003. FIE 2003.","","2003","3","","S1D_19","S1D_23","","0190-5848","0-7803-7961","10.1109/FIE.2003.1265917","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1265917","","Teamwork;Testing;Education;Problem-solving;Switches;Auditory system;Artificial intelligence;Design engineering;Instruments;Communication switching","","","","","36","","","","","IEEE","IEEE Conferences"
"A machine learning approach to identify and track learning styles in MOOCs","B. Hmedna; A. El Mezouary; O. Baz; D. Mammass","IRF-SIC Laboratory, FSA, Ibn Zohr University, Agadir - Morocco; IRF-SIC Laboratory, FSA, Ibn Zohr University, Agadir - Morocco; IRF-SIC Laboratory, FSA, Ibn Zohr University, Agadir - Morocco; IRF-SIC Laboratory, FSA, Ibn Zohr University, Agadir - Morocco","2016 5th International Conference on Multimedia Computing and Systems (ICMCS)","","2016","","","212","216","This paper is devoted to describe a preliminary draft of our approach that aims to identify and track learners' learning styles based on their behavior and actions during a MOOC then to provide them with personalized recommendations based on their learning styles. Massive Open Online Courses are attracting a debate in the research community about their influence in online education. Indeed, with their advent, we are assisting to a substantial expansion of online learning with new advantages such as: massiveness, openness, democratization of learning, etc. However, it raises particular issues related to the dropout rates and the heterogeneity of massive learner's cohorts. In this approach, we use neural networks for the identification and tracking of learner's learning styles in MOOCs so as to increase learners' engagement and satisfaction. The purpose of this paper is to examine the point of view of literature, the dropout issue and solution to integrate an adaptive recommendation system with MOOC.","2472-7652","978-1-5090-5146-5978-1-5090-5145-8978-1-5090-5147","10.1109/ICMCS.2016.7905606","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7905606","MOOC;Learning style;Neural network;adaptation","Neural networks;Adaptation models;Collaboration;Navigation;Videos;Feature extraction;Adaptive systems","computer aided instruction;educational courses;learning (artificial intelligence);recommender systems","machine learning approach;MOOC;massive open online courses;personalized recommendations;online education;online learning;adaptive recommendation system","","2","21","","","","","IEEE","IEEE Conferences"
"ALS_CORR[LP]: An adaptive learning system based on the learning styles of Felder-Silverman and a Bayesian network","N. Elghouch; E. M. En-Naimi; Y. Z. Seghroucheni; B. E. El Mohajir; M. A. Achhab","LIST laboratory, The Faculty of Sciences and Technologies, UAE, Tangier, Morocco; LIST laboratory, The Faculty of Sciences and Technologies, UAE, Tangier, Morocco; The Faculty of Sciences, Tetuan, Morocco; The Faculty of Sciences, Tetuan, Morocco; The National School of Applied Sciences, Tetuan, Morocco","2016 4th IEEE International Colloquium on Information Science and Technology (CiSt)","","2016","","","494","499","The aim of this paper is to present the adaptive learning system called ALS_CORR[LP]<sup>1</sup>. This system belongs to a very specific class of the e-learning systems, which is the adaptive learning ones. In fact they have the ability to adapt the learning process according to each learner needs, learning styles, objectives, etc. ALS_CORR[LP] is based on the learner prerequisites and the learning styles of Felder-Silverman, to design the learner model. As for the domain model, it is designed according to the recommendations of the differentiated pedagogy, which advocates creating multiple versions of the same learning object. Finally in order to ensure the adaptation inside the system, a Bayesian network, to match the designed learning object with the specifics of the learner profile was developed. It is also necessary to emphasize, that the major feature of the system is, its ability to correct the generated learning path in case of a failure in the evaluation phase. The learning path relevance is questioned, based on a recommendation system which enables updating the initial profile, or recommending the most relevant versions of the learning object, in case where the similarity calculation in behavior, reveals that the observed behavior in the system does not fit the initial profile description.","2327-1884","978-1-5090-0751-6978-1-5090-0752","10.1109/CIST.2016.7805098","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7805098","","Adaptation models;Adaptive systems;Learning systems;Bayes methods;Electronic mail;Electronic learning;Erbium","belief networks;computer aided instruction;learning systems;recommender systems","ALS_CORR[LP;adaptive learning system;Felder-Silverman learning styles;Bayesian network;e-learning systems;learning process adaptation;learner prerequisites;differentiated pedagogy;generated learning path correction;recommendation system","","1","13","","","","","IEEE","IEEE Conferences"
"A Novel Algorithm for Course Learning Object Recommendation Based on Student Learning Styles","S. M. Nafea; F. Siewe; Y. He","School Of Business informatics, Arab Academy for Science Technology and Maritime, Cairo, Egypt; School of Computer Science and Informatics, De Montfort University, Leicester, UK; School of Computer Science and Informatics, De Montfort University, Leicester, UK","2019 International Conference on Innovative Trends in Computer Engineering (ITCE)","","2019","","","192","201","Explosive growth of e-learning in the recent years has faced difficulty of locating appropriate learning resources to match the students learning styles. Recommender system is a promising technology in e-learning environments to present personalised offers and convey appropriate learning objects that match student inclinations. This paper, proposes a novel and effective recommender algorithm that recommends personalised learning objects based on the student learning styles. Various similarity metrics are considered in an experimental study to investigate the best similarity metrics to use in a recommender system for learning objects. The approach is based on the Felder and Silverman learning style model which is used to represent both the student learning styles and the learning object profiles. It was found that the K-means clustering algorithm, the cosine similarity metrics and the Pearson correlation coefficient are effective tools for implementing learning object recommender systems. The accuracy of the recommendations are measured using traditional evaluation metrics, namely the Mean Absolute Error and the Root Mean Squared Error.","","978-1-5386-5261-9978-1-5386-5260-2978-1-5386-5262","10.1109/ITCE.2019.8646355","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8646355","recommender system;learning object profile;student profile;algorithms;learning style model;similarity metric;k-means clustering","Recommender systems;Electronic learning;Clustering algorithms;Adaptation models;Euclidean distance;Correlation","computer aided instruction;pattern clustering;recommender systems","course learning object recommendation;student learning styles;recommender system;e-learning environments;learning object profiles;learning object recommender systems;Felder and Silverman learning style model;K-means clustering algorithm;cosine similarity metrics;learning resources;Pearson correlation coefficient","","","36","","","","","IEEE","IEEE Conferences"
"A Recommender System Assisting Instructor in Building Learning Path for Personalized Learning System","N. Jyothi; K. Bhan; U. Mothukuri; S. Jain; D. Jain","NA; NA; NA; NA; NA","2012 IEEE Fourth International Conference on Technology for Education","","2012","","","228","230","Recent years witnessed a huge demand of personalization in the e-learning system tailoring the learning services based on the characteristics of individual learners. Learner's knowledge, style of learning, and individual preferences play a vital role in offering personalized learning services. Existing learning systems investigated various data mining methods in order to cluster students based on their learning style. These systems cannot provide accurate results using smaller data sets in building models that can generate new clusters based on the historical data. The aim of this paper is to propose a Recommendation system to assist the instructor in identifying the groups of learners who have similar learning styles and provide specialized advices to these clusters of learners. This paper focuses on analyzing the learning styles identified by Felder-Silverman learning style model (FSLSM).","","978-1-4673-2173-0978-0-7695-4759","10.1109/T4E.2012.51","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6305977","learningstyles;clustering;FSLSM;learning services;personalized learning;PKT;ILS","Electronic learning;Learning systems;Visualization;Engines;Recommender systems;Buildings","computer aided instruction;data mining;recommender systems","recommender system;building learning path;personalized learning system;e-learning system;learner knowledge;personalized learning services;learning systems;data mining methods;building models;Felder-Silverman learning style model;FSLSM","","8","8","","","","","IEEE","IEEE Conferences"
